Ma SV,Ma HP,Time slot
1108,KH0329,0
1109,KH0320,0
1110,KH0090,0
1112,KH0329,0
1116,KH0383,0
1117,KH0186,0
1122,KH0391,0
1123,KH0377,0
1124,KH0268,0
1126,KH0381,0
1127,KH0182,0
1128,KH0244,0
1129,KH0178,0
1130,KH0182,0
1131,KH0182,0
1132,KH0182,0
1133,KH0090,0
1134,KH0383,0
1135,KH0423,0
1136,KH0383,0
1139,KH0331,0
1145,KH0268,0
1150,KH0244,0
1153,KH0443,0
1154,KH0183,0
1157,KH0028,0
1158,KH0182,0
1160,KH0268,0
1163,KH0377,0
1165,KH0244,0
1166,KH0381,0
1168,KH0329,0
1170,KH0381,0
1172,KH0329,0
1173,KH0090,0
1175,KH0090,0
1177,KH0244,0
1178,KH0320,0
1180,KH0329,0
1187,KH0320,0
1189,KH0331,0
1192,KH0182,0
1195,KH0277,0
1197,KH0186,0
1199,KH0277,0
1201,KH0329,0
1202,KH0244,0
1204,KH0329,0
1208,KH0383,0
1211,KH0126,0
1212,KH0320,0
1218,KH0329,0
1219,KH0383,0
1222,KH0377,0
1224,KH0028,0
1226,KH0090,0
1239,KH0090,0
1242,KH0399,0
1245,KH0268,0
1247,KH0331,0
1250,KH0090,0
1251,KH0186,0
1254,KH0381,0
1255,KH0090,0
1257,KH0320,0
1259,KH0320,0
1260,KH0182,0
1261,KH0090,0
1263,KH0329,0
1266,KH0268,0
1268,KH0183,0
1271,KH0182,0
1272,KH0331,0
1273,KH0447,0
1274,KH0090,0
1281,KH0095,0
1282,KH0331,0
1283,KH0268,0
1285,KH0186,0
1289,KH0277,0
1291,KH0182,0
1292,KH0182,0
1295,KH0329,0
1300,KH0383,0
1301,KH0383,0
1304,KH0329,0
1305,KH0182,0
1309,KH0095,0
1312,KH0399,0
1314,KH0331,0
1315,KH0331,0
1316,KH0277,0
1318,KH0331,0
1319,KH0331,0
1323,KH0331,0
1327,KH0331,0
1329,KH0331,0
1337,KH0268,0
1341,KH0331,0
1343,KH0182,0
1346,KH0329,0
1349,KH0242,0
1351,KH0329,0
1352,KH0182,0
1360,KH0178,0
1361,KH0377,0
1364,KH0182,0
1365,KH0268,0
1366,KH0268,0
1369,KH0182,0
1373,KH0308,0
1374,KH0169,0
1375,KH0229,0
1377,KH0169,0
1379,KH0200,0
1383,KH0277,0
1385,KH0329,0
1386,KH0320,0
1387,KH0331,0
1392,KH0331,0
1396,KH0182,0
1402,KH0183,0
1403,KH0268,0
1405,KH0268,0
1408,KH0182,0
1411,KH0095,0
1413,KH0383,0
1414,KH0329,0
1415,KH0244,0
1418,KH0090,0
1420,KH0182,0
1421,KH0359,0
1423,KH0183,0
1428,KH0399,0
1435,KH0331,0
1437,KH0399,0
1438,KH0183,0
1442,KH0183,0
1445,KH0268,0
1447,KH0183,0
1449,KH0381,0
1453,KH0090,0
1454,KH0090,0
1455,KH0229,0
1456,KH0377,0
1460,KH0320,0
1466,KH0390,0
1470,KH0036,0
1471,KH0205,0
1477,KH0277,0
1478,KH0381,0
1480,KH0205,0
1486,KH0374,0
1488,KH0138,0
1496,KH0071,0
1504,KH0377,0
1506,KH0182,0
1509,KH0090,0
1510,KH0261,0
1512,KH0182,0
1518,KH0320,0
1522,KH0090,0
1523,KH0182,0
1525,KH0090,0
1528,KH0090,0
1529,KH0320,0
1532,KH0359,0
1533,KH0028,0
1535,KH0383,0
1538,KH0377,0
1541,KH0182,0
1542,KH0090,0
1546,KH0182,0
1548,KH0182,0
1554,KH0090,0
1559,KH0377,0
1560,KH0182,0
1562,KH0090,0
1572,KH0090,0
1573,KH0028,0
1575,KH0182,0
1577,KH0359,0
1578,KH0244,0
1582,KH0182,0
1583,KH0090,0
1584,KH0320,0
1585,KH0320,0
1586,KH0277,0
1591,KH0261,0
1593,KH0320,0
1598,KH0090,0
1606,KH0182,0
1611,KH0182,0
1620,KH0320,0
1621,KH0268,0
1625,KH0182,0
1629,KH0320,0
1630,KH0320,0
1634,KH0182,0
1639,KH0244,0
1651,KH0182,0
1653,KH0320,0
1654,KH0182,0
1663,KH0090,0
1664,KH0182,0
1665,KH0383,0
1668,KH0090,0
1674,KH0268,0
1675,KH0268,0
1683,KH0359,0
1684,KH0320,0
1685,KH0182,0
1686,KH0320,0
1688,KH0244,0
1691,KH0320,0
1692,KH0383,0
1698,KH0090,0
1699,KH0320,0
1703,KH0261,0
1705,KH0182,0
1708,KH0320,0
1716,KH0182,0
1718,KH0320,0
1719,KH0377,0
1726,KH0320,0
1727,KH0359,0
1729,KH0090,0
1733,KH0182,0
1735,KH0377,0
1738,KH0261,0
1746,KH0183,0
1748,KH0244,0
1749,KH0383,0
1751,KH0090,0
1754,KH0320,0
1755,KH0182,0
1756,KH0377,0
1757,KH0182,0
1760,KH0320,0
1761,KH0090,0
1763,KH0331,0
1764,KH0377,0
1769,KH0182,0
1772,KH0377,0
1782,KH0182,0
1783,KH0320,0
1784,KH0182,0
1786,KH0268,0
1790,KH0268,0
1793,KH0182,0
1795,KH0268,0
1796,KH0182,0
1803,KH0182,0
1823,KH0182,0
1831,KH0320,0
1832,KH0182,0
1834,KH0178,0
1835,KH0090,0
1840,KH0268,0
1841,KH0182,0
1844,KH0320,0
1849,KH0182,0
1851,KH0182,0
1852,KH0320,0
1854,KH0320,0
1873,KH0182,0
1879,KH0090,0
1880,KH0377,0
1882,KH0320,0
1885,KH0329,0
1887,KH0182,0
1888,KH0320,0
1890,KH0229,0
1902,KH0320,0
1903,KH0178,0
1904,KH0268,0
1908,KH0248,0
1916,KH0182,0
1917,KH0182,0
1925,KH0182,0
1927,KH0377,0
1928,KH0377,0
1935,KH0329,0
1939,KH0331,0
1944,KH0399,0
1945,KH0331,0
1951,KH0331,0
1965,KH0277,0
1966,KH0320,0
1970,KH0090,0
1971,KH0377,0
1972,KH0320,0
1976,KH0377,0
1984,KH0090,0
1986,KH0320,0
1991,KH0182,0
1996,KH0090,0
1998,KH0377,0
2004,KH0320,0
2006,KH0090,0
2012,KH0320,0
2019,KH0377,0
2029,KH0377,0
2039,KH0391,0
2040,KH0377,0
2047,KH0268,0
2048,KH0268,0
2051,KH0320,0
2052,KH0447,0
2053,KH0268,0
2056,KH0419,0
2057,KH0261,0
2059,KH0419,0
2070,KH0182,0
2081,KH0268,0
2086,KH0320,0
2087,KH0377,0
2102,KH0320,0
2105,KH0320,0
2106,KH0182,0
2107,KH0320,0
2109,KH0377,0
2111,KH0320,0
2116,KH0261,0
2118,KH0320,0
2121,KH0236,0
2127,KH0320,0
2128,KH0320,0
2130,KH0320,0
2141,KH0320,0
2144,KH0377,0
2149,KH0320,0
2152,KH0320,0
2153,KH0391,0
2170,KH0320,0
2172,KH0320,0
2183,KH0320,0
2187,KH0320,0
2189,KH0320,0
2191,KH0320,0
2194,KH0320,0
2197,KH0320,0
2200,KH0320,0
2202,KH0320,0
2212,KH0320,0
2218,KH0320,0
2223,KH0320,0
2232,KH0028,0
2233,KH0320,0
2235,KH0261,0
2239,KH0320,0
2240,KH0320,0
2251,KH0320,0
2257,KH0320,0
2259,KH0377,0
2261,KH0320,0
2263,KH0320,0
2267,KH0320,0
2270,KH0320,0
2272,KH0320,0
2279,KH0320,0
2283,KH0320,0
2287,KH0320,0
2290,KH0320,0
2294,KH0320,0
2297,KH0320,0
2305,KH0261,0
2310,KH0261,0
2313,KH0320,0
2319,KH0320,0
2320,KH0320,0
2323,KH0377,0
2326,KH0320,0
2330,KH0320,0
2331,KH0261,0
2337,KH0320,0
2340,KH0320,0
2347,KH0320,0
2348,KH0320,0
2350,KH0320,0
2372,KH0244,0
2379,KH0320,0
2380,KH0320,0
2382,KH0320,0
2384,KH0320,0
2392,KH0320,0
2402,KH0320,0
2403,KH0320,0
2419,KH0244,0
2420,KH0320,0
2426,KH0320,0
2431,KH0320,0
2435,KH0320,0
2436,KH0320,0
2437,KH0320,0
2442,KH0320,0
2446,KH0261,0
2449,KH0320,0
2452,KH0320,0
2455,KH0320,0
2470,KH0320,0
2472,KH0320,0
2478,KH0320,0
2481,KH0320,0
2489,KH0320,0
2490,KH0320,0
2491,KH0320,0
2497,KH0320,0
2499,KH0320,0
2503,KH0320,0
2505,KH0320,0
2507,KH0320,0
2510,KH0320,0
2514,KH0320,0
2515,KH0320,0
2520,KH0320,0
2521,KH0320,0
2525,KH0320,0
2531,KH0320,0
2532,KH0320,0
2536,KH0320,0
2544,KH0320,0
2545,KH0320,0
2547,KH0320,0
2549,KH0320,0
2552,KH0320,0
2555,KH0320,0
2558,KH0320,0
2559,KH0320,0
2560,KH0320,0
2565,KH0320,0
2572,KH0320,0
2578,KH0320,0
2590,KH0320,0
2591,KH0320,0
2596,KH0320,0
2598,KH0320,0
2605,KH0244,0
2606,KH0261,0
2609,KH0320,0
2616,KH0320,0
2619,KH0320,0
2624,KH0028,0
2625,KH0320,0
2628,KH0320,0
2632,KH0320,0
2633,KH0320,0
2635,KH0261,0
2640,KH0320,0
2643,KH0320,0
2650,KH0320,0
2667,KH0320,0
2669,KH0244,0
2670,KH0028,0
2672,KH0320,0
2673,KH0320,0
2686,KH0320,0
2691,KH0320,0
2692,KH0320,0
2698,KH0391,0
2703,KH0261,0
2722,KH0320,0
2727,KH0090,0
2733,KH0268,0
2735,KH0090,0
2736,KH0090,0
2737,KH0182,0
2738,KH0182,0
2742,KH0090,0
2743,KH0090,0
2757,KH0320,0
2760,KH0320,0
2763,KH0320,0
2772,KH0320,0
2777,KH0320,0
2781,KH0320,0
2789,KH0320,0
2792,KH0320,0
2803,KH0320,0
2808,KH0320,0
2810,KH0244,0
2819,KH0261,0
2823,KH0320,0
2824,KH0182,0
2829,KH0261,0
2833,KH0261,0
2836,KH0320,0
2845,KH0261,0
2848,KH0377,0
2878,KH0320,0
2904,KH0261,0
2907,KH0261,0
2912,KH0261,0
2914,KH0028,0
2923,KH0320,0
2931,KH0261,0
